combined_id,ugc_type,wfo,valid_from_date,valid_to_date,state,fips,name,lat,lon,timezone,display_name,short_ugc,region
"AK-C017.1","County","AJK","","","AK","17","YAKUTAT COASTAL","5933","13944","AKST","(AK-C017) YAKUTAT COASTAL","AK-C017","AR"
"AK-C018.1","County","AJK","","","AK","18","TAIYA INLET","5934","13515","AKST","(AK-C018) TAIYA INLET","AK-C018","AR"
"AK-C019.1","County","AJK","","","AK","19","HAINES BOROUGH","5911","13529","AKST","(AK-C019) HAINES BOROUGH","AK-C019","AR"
"AK-C020.1","County","AJK","","","AK","20","GLACIER BAY","5845","13613","AKST","(AK-C020) GLACIER BAY","AK-C020","AR"
"AK-C021.1","County","AJK","","","AK","21","HOONAH CHANNELS","5756","13521","AKST","(AK-C021) HOONAH CHANNELS","AK-C021","AR"
"AK-C022.1","County","AJK","","","AK","22","PELICAN COASTAL","5813","13640","AKST","(AK-C022) PELICAN COASTAL","AK-C022","AR"
"AK-C023.1","County","AJK","","","AK","23","SITKA COASTAL","5700","13511","AKST","(AK-C023) SITKA COASTAL","AK-C023","AR"
"AK-C024.1","County","AJK","","","AK","24","ANGOON CHANNELS","5722","13433","AKST","(AK-C024) ANGOON CHANNELS","AK-C024","AR"
"AK-C025.1","County","AJK","","","AK","25","JUNEAU BOROUGH","5759","13347","AKST","(AK-C025) JUNEAU BOROUGH","AK-C025","AR"
"AK-C026.1","County","AJK","","","AK","26","WRANGELL CHANNELS","5647","13320","AKST","(AK-C026) WRANGELL CHANNELS","AK-C026","AR"
"AK-C027.1","County","AJK","","","AK","27","CRAIG COASTAL","5526","13317","AKST","(AK-C027) CRAIG COASTAL","AK-C027","AR"
"AK-C028.1","County","AJK","","","AK","28","KETCHIKAN CHANNELS","5527","13150","AKST","(AK-C028) KETCHIKAN CHANNELS","AK-C028","AR"
"AK-C029.1","County","AJK","","","AK","29","MISTY FJORDS","5545","13035","AKST","(AK-C029) MISTY FJORDS","AK-C029","AR"
"AK-C101.1","County","AFC","","","AK","101","ANCHORAGE MUNI TO BIRD CREEK","","","AKST","(AK-C101) ANCHORAGE MUNI TO BIRD CREEK","AK-C101","AR"
"AK-C111.1","County","AFC","","","AK","111","MATANUSKA VALLEY","","","AKST","(AK-C111) MATANUSKA VALLEY","AK-C111","AR"
"AK-C121.1","County","AFC","","","AK","121","KENAI PENINSULA","","","AKST","(AK-C121) KENAI PENINSULA","AK-C121","AR"
"AK-C125.1","County","AFC","","","AK","125","WRN P.W. SND & KENAI MTNS","","","AKST","(AK-C125) WRN P.W. SND & KENAI MTNS","AK-C125","AR"
"AK-C131.1","County","AFC","","","AK","131","NERN P.W. SND","","","AKST","(AK-C131) NERN P.W. SND","AK-C131","AR"
"AK-C135.1","County","AFC","","","AK","135","SERN P.W. SND","","","AKST","(AK-C135) SERN P.W. SND","AK-C135","AR"
"AK-C141.1","County","AFC","","","AK","141","COPPER RIVER BASIN","","","AKST","(AK-C141) COPPER RIVER BASIN","AK-C141","AR"
"AK-C145.1","County","AFC","","","AK","145","SUSITNA VALLEY","","","AKST","(AK-C145) SUSITNA VALLEY","AK-C145","AR"
"AK-C151.1","County","AFC","","5/6/2009 2:59:00 AM","AK","151","KUSKOKWIM VALLEY","","","AKST","(AK-C151) KUSKOKWIM VALLEY","AK-C151","AR"
"AK-C152.1","County","AFC","5/6/2009 3:00:00 AM","","AK","152","LOWER KUSKOKWIM VALLEY","","","AKST","(AK-C152) LOWER KUSKOKWIM VALLEY","AK-C152","AR"
"AK-C155.1","County","AFC","","","AK","155","KUSKOKWIM DELTA","","","AKST","(AK-C155) KUSKOKWIM DELTA","AK-C155","AR"
"AK-C161.1","County","AFC","","","AK","161","BRISTOL BAY","","","AKST","(AK-C161) BRISTOL BAY","AK-C161","AR"
"AK-C171.1","County","AFC","","","AK","171","KODIAK PENINSULA","","","AKST","(AK-C171) KODIAK PENINSULA","AK-C171","AR"
"AK-C181.1","County","AFC","","","AK","181","ALASKA PENINSULA","","","AKST","(AK-C181) ALASKA PENINSULA","AK-C181","AR"
"AK-C185.1","County","AFC","","","AK","185","EASTERN ALEUTIANS","","","AKST","(AK-C185) EASTERN ALEUTIANS","AK-C185","AR"
"AK-C187.1","County","AFC","","","AK","187","CENTRAL ALEUTIANS","","","AKST","(AK-C187) CENTRAL ALEUTIANS","AK-C187","AR"
"AK-C191.1","County","AFC","","","AK","191","WESTERN ALEUTIANS","","","AKST","(AK-C191) WESTERN ALEUTIANS","AK-C191","AR"
"AK-C195.1","County","AFC","","","AK","195","PRIBILOF ISLANDS","","","AKST","(AK-C195) PRIBILOF ISLANDS","AK-C195","AR"
"AK-C201.1","County","AFG","","","AK","201","WESTERN ARCTIC COAST","","","AKST","(AK-C201) WESTERN ARCTIC COAST","AK-C201","AR"
"AK-C202.1","County","AFG","","","AK","202","NORTHERN ARCTIC COAST","","","AKST","(AK-C202) NORTHERN ARCTIC COAST","AK-C202","AR"
"AK-C203.1","County","AFG","","","AK","203","CENTRAL BEAUFORT SEA COAST","","","AKST","(AK-C203) CENTRAL BEAUFORT SEA COAST","AK-C203","AR"
"AK-C204.1","County","AFG","","","AK","204","EASTERN BEAUFORT SEA COAST","","","AKST","(AK-C204) EASTERN BEAUFORT SEA COAST","AK-C204","AR"
"AK-C205.1","County","AFG","","","AK","205","N. BROOKS RNG COLVILLE RVR W","","","AKST","(AK-C205) N. BROOKS RNG COLVILLE RVR W","AK-C205","AR"
"AK-C206.1","County","AFG","","","AK","206","N. BROOKS RNG E OF COLVILLE R","","","AKST","(AK-C206) N. BROOKS RNG E OF COLVILLE R","AK-C206","AR"
"AK-C207.1","County","AFG","","","AK","207","CHUKCHI SEA COAST","","","AKST","(AK-C207) CHUKCHI SEA COAST","AK-C207","AR"
"AK-C208.1","County","AFG","","","AK","208","LOWER KOBUK & NOATAK VALLEYS","","","AKST","(AK-C208) LOWER KOBUK & NOATAK VALLEYS","AK-C208","AR"
"AK-C209.1","County","AFG","","","AK","209","BALDWIN PEN. & SELAWIK VALLEY","","","AKST","(AK-C209) BALDWIN PEN. & SELAWIK VALLEY","AK-C209","AR"
"AK-C210.1","County","AFG","","","AK","210","NRN & INTR. SEWARD PENINSULA","","","AKST","(AK-C210) NRN & INTR. SEWARD PENINSULA","AK-C210","AR"
"AK-C211.1","County","AFG","","","AK","211","SRN SEWARD PENINSULA COAST","","","AKST","(AK-C211) SRN SEWARD PENINSULA COAST","AK-C211","AR"
"AK-C212.1","County","AFG","","","AK","212","ERN NORTON SOUND NULATO HILLS","","","AKST","(AK-C212) ERN NORTON SOUND NULATO HILLS","AK-C212","AR"
"AK-C213.1","County","AFG","","","AK","213","ST LAWRENCE IS. BERING STRAIT","","","AKST","(AK-C213) ST LAWRENCE IS. BERING STRAIT","AK-C213","AR"
"AK-C214.1","County","AFG","","","AK","214","YUKON DELTA","","","AKST","(AK-C214) YUKON DELTA","AK-C214","AR"
"AK-C215.1","County","AFG","","","AK","215","LOWER YUKON VALLEY","","","AKST","(AK-C215) LOWER YUKON VALLEY","AK-C215","AR"
"AK-C216.1","County","AFG","","","AK","216","LOWER KOYUKUK MIDDLE YKN VLYS","","","AKST","(AK-C216) LOWER KOYUKUK MIDDLE YKN VLYS","AK-C216","AR"
"AK-C217.1","County","AFG","","","AK","217","UPPER KOBUK AND NOATAK VLYS","","","AKST","(AK-C217) UPPER KOBUK AND NOATAK VLYS","AK-C217","AR"
"AK-C218.1","County","AFG","","","AK","218","S. SLOPES OF ERN BROOKS RANGE","","","AKST","(AK-C218) S. SLOPES OF ERN BROOKS RANGE","AK-C218","AR"
"AK-C219.1","County","AFG","","","AK","219","UPPER KOYUKUK VALLEY","","","AKST","(AK-C219) UPPER KOYUKUK VALLEY","AK-C219","AR"
"AK-C220.1","County","AFG","","","AK","220","YUKON FLATS NEARBY UPLANDS","","","AKST","(AK-C220) YUKON FLATS NEARBY UPLANDS","AK-C220","AR"
"AK-C221.1","County","AFG","","","AK","221","WRN TANANA VLY WRN YUKON VLY","","","AKST","(AK-C221) WRN TANANA VLY WRN YUKON VLY","AK-C221","AR"
"AK-C222.1","County","AFG","","","AK","222","MIDDLE TANANA VALLEY","","","AKST","(AK-C222) MIDDLE TANANA VALLEY","AK-C222","AR"
"AK-C223.1","County","AFG","","","AK","223","DELTANA AND TANANA","","","AKST","(AK-C223) DELTANA AND TANANA","AK-C223","AR"
